txn_id,customer_id,store_id,sku_category,txn_type,amount_paid,timestamp
TXN-100000,CUST-10816,STR-002,Garden,Purchase,88.56,2026-02-23 02:10:06
TXN-100001,CUST-10502,STR-003,Garden,PURCHASE,$135.53,2026-02-19 18:10:06
TXN-100002,CUST-10773,STR-003,Paint,Return,$26.82,2026-02-27 16:10:06
TXN-100003,CUST-10925,STR-003,Lumber,Purchase,$132.01,2026-02-13 07:10:06
TXN-100004,CUST-10523,STR-003,Hardware,purch,121.63,2026-02-06 04:10:06
TXN-100005,CUST-10687,STR-003,Hardware,purch,28.67,2026-02-09 10:10:06
TXN-100006,CUST-10922,STR-002,Hardware,Purchase,$138.71,2026-02-04 23:10:06
TXN-100007,CUST-10674,STR-001,Garden,purch,149.78,2026-02-16 06:10:06
TXN-100008,CUST-10679,STR-004,Paint,Purchase,120.67,2026-02-10 01:10:06
TXN-100009,CUST-10340,STR-001,Paint,PURCHASE,24.1,2026-02-19 22:10:06
TXN-100010,CUST-10065,STR-004,Lumber,Purchase,$52.77,2026-03-03 01:10:06
TXN-100011,CUST-10117,STR-002,Paint,purch,14.19,2026-02-24 01:10:06
TXN-100012,CUST-10015,STR-001,Paint,purch,134.87,2026-02-09 05:10:06
TXN-100013,CUST-10464,STR-004,Garden,PURCHASE,135.43,2026-02-14 13:10:06
TXN-100014,CUST-10293,STR-004,Lumber,PURCHASE,48.02,2026-02-10 12:10:06
TXN-100015,CUST-10146,STR-004,Lumber,purch,$89.85,2026-02-14 14:10:06
TXN-100016,CUST-10295,STR-003,Lumber,purch,$28.0,2026-02-08 17:10:06
TXN-100017,CUST-10172,STR-003,Lumber,purch,38.76,2026-02-21 05:10:06
TXN-100018,CUST-10554,STR-003,Paint,PURCHASE,99.09,2026-02-09 04:10:06
TXN-100019,CUST-10730,STR-003,Lumber,purch,$120.68,2026-02-06 15:10:06
TXN-100020,CUST-10026,STR-004,Hardware,PURCHASE,41.59,2026-02-06 11:10:06
TXN-100021,CUST-10863,STR-002,Paint,Purchase,120.26,2026-03-04 15:10:06
TXN-100022,CUST-10612,STR-001,Garden,Purchase,124.94,2026-02-11 16:10:06
TXN-100023,CUST-10790,STR-003,Paint,purch,28.07,2026-02-18 08:10:06
TXN-100024,CUST-10913,STR-004,Hardware,Purchase,$21.68,2026-02-19 15:10:06
TXN-100025,CUST-10784,STR-004,Paint,purch,29.02,2026-02-28 13:10:06
TXN-100026,CUST-10034,STR-004,Lumber,ret,136.28,2026-02-21 06:10:06
TXN-100027,CUST-10365,STR-001,Hardware,purch,$110.25,2026-02-05 12:10:06
TXN-100028,CUST-10869,STR-003,Garden,PURCHASE,13.72,2026-02-07 22:10:06
TXN-100029,CUST-10117,STR-004,Garden,purch,24.49,2026-03-05 02:10:06
TXN-100030,CUST-10007,STR-002,Hardware,Purchase,$29.54,2026-03-04 01:10:06
TXN-100031,CUST-10654,STR-003,Hardware,purch,75.18,2026-03-02 13:10:06
TXN-100032,CUST-10729,STR-002,Hardware,PURCHASE,$10.32,2026-02-11 18:10:06
TXN-100033,CUST-10092,STR-002,Garden,purch,63.34,2026-02-22 09:10:06
TXN-100034,CUST-10428,STR-004,Garden,Return,125.78,2026-02-15 04:10:06
TXN-100035,CUST-10949,STR-004,Garden,PURCHASE,$42.94,2026-02-27 15:10:06
